epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
102,309.564,3.15175,4.45969,19.7552,0.01593,5.12105,0.77371,0.54756,0.5753,0.31607,0.67623,0.52,0.49493,0.23727,4.24387,7.23287,34.4119,0.05178,0,6.667e-05,6.667e-05,6.667e-05
103,312.349,2.82758,4.15519,17.7948,0.01405,3.46894,0.79451,0.52,0.57255,0.31527,0.59037,0.52,0.45536,0.23897,4.24,7.26115,34.6694,0.05151,0,6.634e-05,6.634e-05,6.634e-05
104,315.137,3.17424,4.25604,18.1461,0.01435,4.03788,0.78436,0.52,0.58649,0.32395,0.66484,0.55562,0.51438,0.27521,4.20976,7.3235,36.0316,0.0506,0,6.601e-05,6.601e-05,6.601e-05
105,317.892,3.05468,4.06662,15.8899,0.01494,3.69565,0.79164,0.52,0.58306,0.31933,0.66252,0.55005,0.50531,0.26153,4.19405,7.4418,36.8171,0.05049,0,6.568e-05,6.568e-05,6.568e-05
106,320.796,2.98927,4.37228,17.457,0.01239,2.99505,0.849,0.48,0.57383,0.3186,0.67661,0.52,0.49981,0.26499,4.14685,7.51111,38.5179,0.05011,0,6.535e-05,6.535e-05,6.535e-05
107,323.652,2.95886,4.39029,17.2662,0.01562,3.95275,0.82857,0.48,0.57307,0.31828,0.66938,0.52,0.49678,0.26068,4.02887,7.51913,39.3368,0.04922,0,6.502e-05,6.502e-05,6.502e-05
108,326.524,2.70394,4.05222,14.3052,0.01247,4.57903,0.8512,0.48,0.57346,0.29918,0.60809,0.55863,0.48873,0.24072,4.10467,7.44926,39.9497,0.05015,0,6.469e-05,6.469e-05,6.469e-05
109,329.349,2.82824,4.03897,16.9602,0.01335,3.38615,0.87898,0.48,0.58939,0.30616,0.63332,0.55297,0.5031,0.24847,4.09187,7.40803,39.4615,0.05016,0,6.436e-05,6.436e-05,6.436e-05
110,332.228,2.97091,4.02373,16.2975,0.01286,3.32916,0.83942,0.48,0.59492,0.30472,0.76947,0.44,0.47306,0.25119,4.06827,7.26658,38.7633,0.0491,0,6.403e-05,6.403e-05,6.403e-05
111,334.942,3.06985,4.47283,16.5321,0.01511,3.18866,0.81182,0.51783,0.61515,0.30908,0.67909,0.48,0.46315,0.25379,3.96885,7.33497,38.994,0.04805,0,6.37e-05,6.37e-05,6.37e-05
